shannon_entropy,relative_entropy,url_length,domain_length,special_chars,digits,subdomains,hyphens,question_mark,suspicious_words,https,repeated_chars
3.663532754804254,0.14382216725334945,22,13,0,0,2,0,0,0,1,4
3.9056390622295662,0.18182377902077299,32,21,0,0,1,0,0,0,0,4
3.5368867237421666,0.16355299439892437,19,10,0,0,1,0,0,0,1,2
4.928169529355023,0.31975798408856154,232,13,1,88,3,0,1,1,0,11
4.118579554250694,0.20334854063666938,46,34,0,9,4,0,0,0,0,4
4.351016572240091,0.17254538381692092,67,22,2,0,2,2,0,0,0,4
3.0659573209491744,0.25597077393818735,20,11,0,0,2,0,0,0,1,5
4.759826237213414,0.2845678821450414,85,18,0,31,3,0,0,0,0,4
3.958229168669879,0.12923367258046115,27,18,0,0,2,0,0,0,1,4
4.257078456355553,0.2664834997014591,41,21,1,3,1,1,0,0,0,3
4.085588016574085,0.162339496869499,35,26,2,0,2,2,0,0,1,5
4.53395629860289,0.3240246965246817,69,40,1,0,3,1,0,0,0,3
3.8831727088441377,0.2042901324062018,42,19,0,0,2,0,0,1,0,2
5.513755907293088,0.29359901476451383,167,12,1,20,2,0,0,0,0,2
4.174565048455188,0.28486657018210926,84,20,5,0,1,5,0,1,0,3
5.416697384557743,0.28374233358334866,171,20,2,26,2,0,1,1,0,8
4.119079570624174,0.20284852426318795,50,15,0,0,2,0,0,0,0,4
4.615296409886075,0.33889990050079866,123,17,12,20,2,12,0,0,0,6
4.743563380781242,0.3008307385772123,100,18,1,23,2,1,0,1,0,5
4.724195417197981,0.2758045828020194,81,27,0,21,2,0,0,0,0,5
4.248323567793248,0.2111080508440497,51,17,0,0,3,0,0,0,0,5
4.264578373902382,0.12773904887637735,35,26,0,4,2,0,0,0,1,2
4.219515395613161,0.2399162230241353,49,10,2,0,2,2,0,0,0,5
4.1405853938847885,0.1813427010025736,43,23,0,2,2,0,0,0,0,5
3.6887218755408675,0.2181687200676517,24,10,0,1,1,0,0,0,1,4
4.451259911969211,0.24917980617188198,84,10,4,5,1,4,1,0,1,6
3.5238561897747243,0.17658352836636726,25,12,0,0,1,0,0,0,0,3
4.269159109782291,0.2544028462747233,56,21,0,0,1,0,0,1,0,3
3.6339740759971577,0.17338084606044651,27,19,0,0,2,0,0,0,0,4
5.300800650655144,0.3139091934600655,169,17,1,27,1,1,1,1,0,10
3.6314018453921717,0.1759530766654323,30,22,0,0,2,0,0,0,0,5
3.6635327548042538,0.14382216725334945,22,15,0,0,2,0,0,0,0,2
4.680210865710701,0.22667972989781757,98,22,1,3,1,1,1,1,0,2
4.156593961153605,0.3028376574836896,57,15,1,0,2,1,0,0,1,4
3.7622673906514947,0.1446232049570246,23,15,0,0,2,0,0,0,0,4
4.985867302411999,0.2620602110315872,70,16,2,5,2,1,0,0,1,3
3.798305076273715,0.28915776497662404,47,13,0,0,2,0,0,0,0,4
4.248613478659509,0.07331461622785165,57,23,2,0,2,2,0,0,0,5
4.4724305326129,0.38555046251467356,104,17,2,0,1,1,1,0,0,8
4.514817984085111,0.4393783263017662,99,12,4,5,1,2,0,1,1,5
4.120885064757336,0.20104303013002642,47,16,0,0,2,0,0,0,0,4
3.841447312526802,0.24601552872353802,34,19,0,0,1,0,0,0,0,2
3.9647351787255047,0.12272766252483441,30,21,0,0,2,0,0,0,1,4
4.188982196705438,0.2704494219318598,45,9,0,0,1,0,0,0,0,2
4.812404103611211,0.275058737639131,78,14,0,15,2,0,1,0,0,5
3.7024715122197467,0.20441908338877196,29,21,0,0,2,0,0,0,0,5
3.973557262275185,0.19636773916712708,30,16,0,0,2,0,0,0,1,2
4.812561429617456,0.43536608382613134,113,22,7,13,2,7,0,0,1,7
4.155682341850947,0.23663508092781343,47,26,1,0,2,1,0,1,0,4
4.056832235570405,0.40259938306689047,57,10,0,3,1,0,0,1,0,4
3.857306856898129,0.14269314310187187,29,20,1,0,2,1,0,0,1,4
3.9292292966721747,0.15823354457816463,32,15,1,1,2,1,0,0,0,4
4.066677073707229,0.18125043973635635,33,24,0,0,2,0,0,0,1,4
4.145512835516972,0.24680458726178875,48,28,0,0,2,0,0,0,0,5
4.268719696310996,0.25484225974601543,43,14,0,4,1,0,1,0,0,2
4.2988537451105335,0.2861087556106227,47,18,0,12,2,0,0,0,1,5
3.9121138909722304,0.17534895027811045,27,16,0,0,2,0,0,0,0,4
3.8441065448145375,0.15589345518546197,26,18,0,0,2,0,0,0,0,4
4.536388882458135,0.21849861970533296,43,15,0,1,2,0,1,0,1,4
4.412180011265247,0.28825970687584557,50,24,1,2,2,1,0,0,0,2
3.7647351787255054,0.3227276625248345,30,11,0,0,1,0,0,0,1,4
3.973215397937734,0.2747121155058521,45,17,0,1,2,0,0,0,0,6
4.155639062229566,0.16628903265779627,32,18,0,2,2,0,0,0,0,3
4.300417118959396,0.2231448370976175,46,15,0,0,2,0,0,0,1,4
4.132811395078722,0.2595060277000377,56,29,2,3,2,2,0,0,0,5
3.9764499732851233,0.19347502815718895,34,21,0,0,2,0,0,0,1,4
4.563780101231268,0.48061401812718435,192,11,17,106,2,10,0,0,1,22
4.553362162946345,0.20152533921712293,46,18,1,5,2,0,0,0,0,2
4.043942707918268,0.20398480552531653,40,31,0,0,2,0,0,0,1,3
2.952819531114783,0.21710547032752925,16,7,0,0,1,0,0,0,1,3
4.536388882458135,0.218498619705333,43,15,2,0,2,2,1,0,1,4
4.305255793112395,0.27970670760876193,48,35,3,1,2,3,1,0,1,3
3.6143694458867563,0.08607027225433492,18,11,0,0,1,0,0,0,0,2
3.9912157102019843,0.17870929124032792,33,25,0,0,1,0,0,0,0,2
4.362037112696979,0.2818190770777465,66,23,1,2,2,1,0,0,1,5
4.3607354185496865,0.16282653750732728,54,12,4,0,2,4,0,0,1,4
4.090234012145144,0.1576935012984411,29,20,0,2,2,0,0,0,1,2
4.185979129983102,0.13594896490425976,50,22,1,0,2,0,0,1,0,4
4.346511766666806,0.2973444231079188,70,21,3,1,2,2,0,0,0,5
4.124361855182643,0.2679555675961168,71,31,2,0,2,2,0,0,0,6
3.6959472263874704,0.21094336922104845,28,19,0,0,2,0,0,0,1,4
3.6753108689123644,0.13204405314524081,23,14,0,0,2,0,0,0,1,5
4.030493056757482,0.21743445668610256,36,11,1,0,2,0,0,0,1,4
4.1162646156680225,0.1316628977755629,29,22,0,2,2,0,0,0,0,2
4.405291942681477,0.1796705580396796,69,23,3,0,2,3,0,0,1,4
3.5726236638951625,0.23473125816244034,22,14,0,0,1,0,0,1,0,3
4.1836921785622705,0.27573944007502643,74,25,5,0,2,5,0,0,0,4
4.488840875657915,0.26604662650555383,76,50,1,11,4,1,0,2,0,4
4.210853457065055,0.18146396571370582,82,15,2,0,2,0,0,0,0,5
4.497306823655903,0.4568894867309729,110,17,2,0,1,1,1,0,0,4
4.2294524006673,0.2941095553897106,63,16,2,0,2,2,0,0,0,6
4.2528786893420305,0.20655292929526556,50,23,1,0,3,0,0,0,0,5
4.107906715661284,0.28441070711747807,51,26,3,0,2,3,0,0,0,5
4.602859196798315,0.20449572525928947,73,28,3,6,3,3,0,0,1,3
4.189822782008755,0.132105312878607,40,20,0,1,2,0,0,0,1,2
3.538310595615006,0.16212912252608588,22,14,0,0,2,0,0,0,0,4
4.053429630702996,0.2684984641843671,45,34,0,0,1,0,0,0,0,3
3.9928705166358984,0.17705448480641298,35,27,0,0,2,0,0,0,0,4
4.201915524693378,0.32164643136363436,64,8,2,3,1,0,0,1,0,4
4.532140715772439,0.3258402793551332,84,18,4,7,3,4,0,0,1,4
4.33706620988152,0.18649574617549192,44,29,0,22,2,0,0,0,0,2
4.260828171224455,0.1986034474128418,38,16,1,0,2,1,0,0,1,5
3.9068905956085183,0.18057224564182084,30,15,0,0,2,0,0,0,1,5
4.589082805026307,0.4109171949736928,119,42,2,8,4,0,1,2,1,5
4.291536385622464,0.23202557043454788,81,20,4,0,2,4,0,0,1,5
4.731409469784448,0.3560533714658886,118,42,2,23,4,0,1,2,0,11
4.001727857559624,0.16819714388268867,44,18,0,0,2,0,0,0,0,2
4.539607856577964,0.31837313854960825,76,50,1,10,4,1,0,2,0,6
4.146439344671015,0.1754887502163471,40,32,0,3,2,0,0,0,0,5
4.1079764393852995,0.1399510740582844,50,19,3,0,2,3,0,0,0,4
3.2086949695628415,0.11323312532452018,20,11,0,0,2,0,0,0,1,4
4.391392229909759,0.19357027081139544,62,17,1,0,2,1,0,0,0,4
5.444672863805117,0.33668684971954066,176,13,4,43,1,1,1,1,0,6
4.785950709738298,0.25844340962015466,126,50,3,23,4,1,1,2,0,4
4.968340483722253,0.35358761116510873,110,22,6,13,2,5,0,0,1,5
3.787042812031905,0.2129571879680959,37,19,0,0,2,0,0,0,0,5
4.866162293368287,0.2213005478820545,51,21,0,5,2,0,0,0,0,4
